"h_team","id","minute","result","X","Y","xG","player","h_a","player_id","situation","year","shotType","match_id","a_team","h_goals","a_goals","date","player_assisted","lastAction"
"Udinese",411810,71,"BlockedShot",0.94,0.634000015258789,0.0366860032081604,"Adam Marusic","a",6176,"OpenPlay",2020,"Head",15700,"Lazio",0,1,2021-03-21 14:00:00,"Stefan Radu","Cross"
"Udinese",392578,42,"BlockedShot",0.803000030517578,0.472999992370605,0.0503050610423088,"Ignacio Pussetto","h",6997,"OpenPlay",2020,"LeftFoot",15544,"Crotone",0,0,2020-12-15 17:30:00,NA,"BallRecovery"
"Udinese",408627,41,"BlockedShot",0.904000015258789,0.555,0.103654243052006,"Fernando Llorente","h",1728,"OpenPlay",2020,"RightFoot",15684,"Sassuolo",2,0,2021-03-06 17:00:00,"Jens Stryger Larsen","Chipped"
"Udinese",392585,73,"SavedShot",0.871999969482422,0.532999992370605,0.376394361257553,"Ignacio Pussetto","h",6997,"OpenPlay",2020,"RightFoot",15544,"Crotone",0,0,2020-12-15 17:30:00,"Rodrigo de Paul","Pass"
"Udinese",414070,2,"MissedShots",0.74,0.445999984741211,0.0156630557030439,"Tomás Rincón","a",1099,"FromCorner",2020,"LeftFoot",15725,"Torino",0,1,2021-04-10 18:45:00,NA,"None"
"Udinese",395283,33,"MissedShots",0.910999984741211,0.617999992370605,0.0701500028371811,"Kevin Lasagna","h",1903,"OpenPlay",2020,"LeftFoot",15564,"Benevento",0,2,2020-12-23 19:45:00,"Marvin Zeegelaar","Cross"
"Udinese",399869,34,"BlockedShot",0.810999984741211,0.530999984741211,0.0561366491019726,"Aleksey Miranchuk","a",2711,"OpenPlay",2020,"LeftFoot",15524,"Atalanta",1,1,2021-01-20 16:00:00,"Ruslan Malinovskiy","Pass"
"Udinese",416553,60,"BlockedShot",0.906999969482422,0.479000015258789,0.0330062843859196,"Leonardo Pavoletti","a",1104,"FromCorner",2020,"Head",15738,"Cagliari",0,1,2021-04-21 18:45:00,NA,"Aerial"
"Udinese",416544,20,"BlockedShot",0.758000030517578,0.620999984741211,0.0116342110559344,"Roberto Pereyra","h",1723,"OpenPlay",2020,"RightFoot",15738,"Cagliari",0,1,2021-04-21 18:45:00,NA,"Aerial"
"Udinese",416543,15,"MissedShots",0.770999984741211,0.716999969482422,0.0107558108866215,"Roberto Pereyra","h",1723,"OpenPlay",2020,"RightFoot",15738,"Cagliari",0,1,2021-04-21 18:45:00,NA,"Aerial"
"Udinese",419284,61,"MissedShots",0.800999984741211,0.62,0.0350896269083023,"Roberto Pereyra","h",1723,"FromCorner",2020,"RightFoot",15762,"Juventus",1,2,2021-05-02 16:00:00,NA,"Rebound"
"Udinese",414083,48,"MissedShots",0.76,0.725999984741211,0.0151944030076265,"Rolando Mandragora","a",3821,"OpenPlay",2020,"LeftFoot",15725,"Torino",0,1,2021-04-10 18:45:00,"Andrea Belotti","Pass"
"Udinese",414077,33,"MissedShots",0.800999984741211,0.655,0.0311294961720705,"Rodrigo de Paul","h",1145,"OpenPlay",2020,"RightFoot",15725,"Torino",0,1,2021-04-10 18:45:00,"Rodrigo Becão","Pass"
"Udinese",408637,79,"MissedShots",0.73,0.602000007629395,0.0146143985912204,"Manuel Locatelli","a",1122,"OpenPlay",2020,"LeftFoot",15684,"Sassuolo",2,0,2021-03-06 17:00:00,NA,"None"
"Udinese",398300,23,"SavedShot",0.885999984741211,0.405999984741211,0.0464679859578609,"Hirving Lozano","a",7999,"OpenPlay",2020,"Head",15594,"Napoli",1,2,2021-01-10 14:00:00,"Giovanni Di Lorenzo","Cross"
"Udinese",395295,79,"MissedShots",0.771999969482422,0.555,0.0276892855763435,"Rodrigo de Paul","h",1145,"OpenPlay",2020,"RightFoot",15564,"Benevento",0,2,2020-12-23 19:45:00,NA,"BallRecovery"
"Udinese",399862,5,"BlockedShot",0.919000015258789,0.753000030517578,0.0321420282125473,"Joakim Maehle","a",9233,"OpenPlay",2020,"RightFoot",15524,"Atalanta",1,1,2021-01-20 16:00:00,"José Luis Palomino","Pass"
"Udinese",382750,77,"MissedShots",0.770999984741211,0.610999984741211,0.0244739111512899,"Rodrigo de Paul","h",1145,"OpenPlay",2020,"RightFoot",15463,"Parma Calcio 1913",3,2,2020-10-18 16:00:00,"Samir","Pass"
"Udinese",382739,44,"MissedShots",0.869000015258789,0.587999992370606,0.0602344758808613,"Thomas Ouwejan","h",8922,"OpenPlay",2020,"RightFoot",15463,"Parma Calcio 1913",3,2,2020-10-18 16:00:00,"Rodrigo de Paul","Cross"
"Udinese",414081,44,"SavedShot",0.925999984741211,0.465999984741211,0.105271629989147,"Fernando Llorente","h",1728,"FromCorner",2020,"Head",15725,"Torino",0,1,2021-04-10 18:45:00,"Rodrigo de Paul","Cross"
"Udinese",400517,12,"MissedShots",0.755999984741211,0.345999984741211,0.0174862295389175,"Kevin Lasagna","h",1903,"OpenPlay",2020,"LeftFoot",15614,"Inter",0,0,2021-01-23 17:00:00,"Gerard Deulofeu","Pass"
"Udinese",414088,64,"MissedShots",0.718000030517578,0.614000015258789,0.0408648923039436,"Simone Verdi","a",1445,"DirectFreekick",2020,"RightFoot",15725,"Torino",0,1,2021-04-10 18:45:00,NA,"Standard"
"Udinese",419905,31,"BlockedShot",0.856999969482422,0.597000007629395,0.0977325588464737,"Tolgay Arslan","h",4348,"OpenPlay",2020,"LeftFoot",15767,"Bologna",1,1,2021-05-08 13:00:00,"Rodrigo de Paul","Pass"
"Udinese",411795,28,"BlockedShot",0.740999984741211,0.307000007629395,0.0149846198037267,"Manuel Lazzari","a",6180,"OpenPlay",2020,"RightFoot",15700,"Lazio",0,1,2021-03-21 14:00:00,"Stefan Radu","Pass"
"Udinese",380803,68,"MissedShots",0.890999984741211,0.327000007629395,0.383514314889908,"Stefano Okaka","h",1763,"OpenPlay",2020,"RightFoot",15449,"Roma",0,1,2020-10-03 18:45:00,"Nahuel Molina","TakeOn"
"Udinese",400520,22,"SavedShot",0.869000015258789,0.557000007629395,0.361304759979248,"Lautaro Martínez","a",7006,"OpenPlay",2020,"RightFoot",15614,"Inter",0,0,2021-01-23 17:00:00,NA,"BallRecovery"
