"h_team","id","minute","result","X","Y","xG","player","h_a","player_id","situation","year","shotType","match_id","a_team","h_goals","a_goals","date","player_assisted","lastAction"
"Strasbourg",408172,71,"MissedShots",0.905,0.567000007629395,0.0575354024767876,"Lamine Koné","h",728,"SetPiece",2020,"Head",16035,"Monaco",1,0,2021-03-03 20:00:00,"Frederic Guilbert","Chipped"
"Strasbourg",392117,36,"MissedShots",0.831999969482422,0.632999992370605,0.0465836711227894,"Ludovic Ajorque","h",6905,"OpenPlay",2020,"LeftFoot",15894,"Metz",2,2,2020-12-13 14:00:00,"Habib Diallo","Pass"
"Strasbourg",392130,77,"Goal",0.93,0.475999984741211,0.0858140289783478,"Adrien Thomasson","h",3549,"OpenPlay",2020,"RightFoot",15894,"Metz",2,2,2020-12-13 14:00:00,"Habib Diallo","BallTouch"
"Strasbourg",402547,7,"Goal",0.916999969482422,0.394000015258789,0.355871826410294,"Adrien Thomasson","h",3549,"FromCorner",2020,"LeftFoot",15985,"Brest",2,2,2021-02-03 18:00:00,NA,"Rebound"
"Strasbourg",417712,47,"MissedShots",0.743000030517578,0.492999992370605,0.027894277125597,"Jean Eudes Aholou","h",4811,"OpenPlay",2020,"LeftFoot",16093,"Nantes",1,2,2021-04-25 13:00:00,NA,"None"
"Strasbourg",408170,67,"BlockedShot",0.848000030517578,0.637000007629395,0.0580446533858776,"Habib Diallo","h",5769,"OpenPlay",2020,"RightFoot",16035,"Monaco",1,0,2021-03-03 20:00:00,NA,"TakeOn"
"Strasbourg",411572,19,"SavedShot",0.749000015258789,0.517999992370605,0.0669625625014305,"Frederic Guilbert","h",3253,"DirectFreekick",2020,"RightFoot",16053,"Lens",1,2,2021-03-21 12:00:00,NA,"Standard"
"Strasbourg",392127,65,"Goal",0.958000030517578,0.417000007629395,0.092575304210186,"Mohamed Simakan","h",7551,"FromCorner",2020,"Head",15894,"Metz",2,2,2020-12-13 14:00:00,"Dmitri Lienard","Cross"
"Strasbourg",411578,39,"Goal",0.925999984741211,0.354000015258789,0.304290026426315,"Seko Fofana","a",1144,"OpenPlay",2020,"RightFoot",16053,"Lens",1,2,2021-03-21 12:00:00,"Jonathan Clauss","TakeOn"
"Strasbourg",420531,89,"MissedShots",0.92,0.555,0.0829277262091637,"Ibrahima Sissoko","h",6904,"FromCorner",2020,"Head",16115,"Montpellier",2,3,2021-05-09 13:00:00,"Sanjin Prcic","Cross"
"Strasbourg",399275,15,"BlockedShot",0.749000015258789,0.643000030517578,0.0150995077565312,"Adrien Thomasson","h",3549,"FromCorner",2020,"RightFoot",15955,"Saint-Etienne",1,0,2021-01-17 14:00:00,NA,"None"
"Strasbourg",408159,29,"MissedShots",0.709000015258789,0.400999984741211,0.00940135587006807,"Lionel Carole","h",6318,"SetPiece",2020,"LeftFoot",16035,"Monaco",1,0,2021-03-03 20:00:00,NA,"None"
"Strasbourg",420526,74,"MissedShots",0.908000030517578,0.582000007629395,0.0674839019775391,"Habib Diallo","h",5769,"OpenPlay",2020,"Head",16115,"Montpellier",2,3,2021-05-09 13:00:00,"Ludovic Ajorque","Cross"
"Strasbourg",381066,67,"Goal",0.933000030517578,0.367000007629395,0.280512630939484,"Burak Yilmaz","a",8637,"OpenPlay",2020,"LeftFoot",15813,"Lille",0,3,2020-10-04 13:00:00,"Jonathan Bamba","Pass"
"Strasbourg",397440,73,"SavedShot",0.868000030517578,0.537999992370605,0.0979138016700745,"Dmitri Lienard","h",5978,"OpenPlay",2020,"LeftFoot",15934,"Nimes",5,0,2021-01-06 18:00:00,NA,"None"
"Strasbourg",381060,51,"SavedShot",0.900999984741211,0.265,0.0498991794884205,"Burak Yilmaz","a",8637,"OpenPlay",2020,"RightFoot",15813,"Lille",0,3,2020-10-04 13:00:00,"Mehmet Zeki Çelik","Chipped"
"Strasbourg",417714,52,"Goal",0.963000030517578,0.537000007629394,0.228429511189461,"Jean-Charles Castelletto","a",7730,"FromCorner",2020,"Head",16093,"Nantes",1,2,2021-04-25 13:00:00,NA,"BallTouch"
"Strasbourg",382395,84,"MissedShots",0.956999969482422,0.54,0.569035112857819,"Memphis Depay","a",555,"OpenPlay",2020,"RightFoot",15825,"Lyon",2,3,2020-10-18 11:00:00,"Mattia De Sciglio","Cross"
